,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,0.0,0.34375,0.0,0.3246985261277356,0.1449983346286222,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.8151013867494517,0.5142045454545454
2,0.0,0.34375,0.0,0.3246985261277356,0.14510935938714334,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.5266805550150517,0.7471590909090909
3,0.0,0.34375,0.0,0.3246985261277356,0.1452203841456645,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.6771609247098151,0.4772727272727273
4,0.0,0.34375,0.0,0.3246985261277356,0.14533140890418564,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.8125935037406422,0.40625
5,0.0,0.34375,0.0,0.3246985261277356,0.1454424336627068,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.8401812020597055,0.6789772727272727
12,0.0,0.34375,0.0,0.3246985261277356,0.1467747307649606,0.0,0.0,0.02813852813852814,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7363636363636363,0.7900210788281177,0.7215909090909091
17,0.02564102564102564,0.0,1.0,0.16659222867351497,0.1554346619296103,0.8198198198198198,0.23730098559514784,0.017316017316017316,0.0,0.0,0.010416666666666666,0.0,0.0,0.9975161450571287,1.0,0.8181818181818182,0.1773394962263528,0.4090909090909091
22,0.02564102564102564,0.15625,0.5,0.16301920500223313,0.0032197179971133563,0.12612612612612611,0.0,0.017316017316017316,0.13333333333333333,0.0,0.11458333333333333,0.5982256020278834,0.10989010989010989,0.9488325881768505,0.3333333333333333,0.11818181818181818,0.4410095768520083,0.8267045454545454
24,0.02564102564102564,0.15625,0.75,0.16703885663242518,0.0,0.15315315315315314,0.0,0.017316017316017316,0.9111111111111111,0.016666666666666666,0.9375,0.4144486692015209,0.7005494505494505,0.9920516641828118,0.3333333333333333,0.14545454545454545,0.00013891632458932246,0.5795454545454546
47,0.02564102564102564,0.21875,0.5,0.16167932112550246,0.00532918840901521,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.17487644082583292,0.8267045454545454
48,0.02564102564102564,0.21875,0.5,0.16167932112550246,0.00532918840901521,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.1450734704795421,0.53125
49,0.02564102564102564,0.21875,0.5,0.16167932112550246,0.00532918840901521,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.1201966109342911,0.3664772727272727
50,0.02564102564102564,0.21875,0.5,0.16167932112550246,0.00532918840901521,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.18472866242791253,0.34375
51,0.02564102564102564,0.21875,0.5,0.1621259490844127,0.007105584545353614,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.012523158878403388,0.6818181818181818
52,0.02564102564102564,0.21875,0.5,0.16301920500223313,0.0018874208948595538,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9577744659711873,0.3333333333333333,0.13636363636363635,0.25123115824194986,0.23863636363636365
53,0.02564102564102564,0.21875,0.5,0.16301920500223313,0.001998445653380704,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9488325881768505,0.3333333333333333,0.13636363636363635,0.1498517979565507,0.9517045454545454
54,0.02564102564102564,0.21875,0.5,0.16301920500223313,0.001998445653380704,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9488325881768505,0.3333333333333333,0.13636363636363635,0.18325082918760058,0.8920454545454546
55,0.02564102564102564,0.21875,0.5,0.16346583296114336,0.006772510269790163,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9940387481371088,0.3333333333333333,0.13636363636363635,0.472906144288741,0.8920454545454546
56,0.02564102564102564,0.21875,0.5,0.16346583296114336,0.006772510269790163,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9940387481371088,0.3333333333333333,0.13636363636363635,0.1704429411048971,0.5852272727272727
57,0.02564102564102564,0.21875,0.5,0.16346583296114336,0.007327634062395914,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.14926066466042595,0.17613636363636365
59,0.02564102564102564,0.21875,0.5,0.16346583296114336,0.007327634062395914,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.14876805358032197,0.2784090909090909
60,0.02564102564102564,0.21875,0.5,0.16748548459133542,0.002109470411901854,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9552906110283159,0.3333333333333333,0.13636363636363635,0.15221633114104982,0.375
